Name,Assignments,Assignments/Exams,Completed Assignments,Contact,Course Code,Notes,Overall Grade,Professor,Status,Syllabus,Total Assignments,Upcoming Exams
Operating Systems And Management,1,"Assignment 1(30%) (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/Assignment%201(30%25)%20118b65ee4ea6804d979cc3ed089e4dcc.md), test 1(20%) (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/test%201(20%25)%20118b65ee4ea680b9895de3b678a9a0e7.md), test 2(20%) (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/test%202(20%25)%20118b65ee4ea680ecb1fcfbfa30837985.md), test 3(30%) (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/test%203(30%25)%20118b65ee4ea680f9ac77cf6838a245a1.md), Test 1 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/Test%201%2011fb65ee4ea680689964c073c552abf9.md), Test 2 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/Test%202%2011fb65ee4ea680d989d8c10d1460513e.md), Test 3 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/Test%203%2011fb65ee4ea68078aa6cdb333fc517eb.md)",1,,IT2164,"Topic 1 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Topic%201%2011fb65ee4ea680b3b721c2fe6a1e5172.md), Topic 2 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Topic%202%20126b65ee4ea680dd99d6ff290d1e37b9.md), Topic 3 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Topic%203%2012db65ee4ea68028a8ffc15d81df151d.md), Topic 4 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Topic%204%20135b65ee4ea680a0bf9feaa55c3134c3.md), Topic 5 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Topic%205%2017bb65ee4ea68070a4eae87b9f7999d3.md), Topic 6 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Topic%206%2017bb65ee4ea6807dbb71fbbc165a258e.md), Topic 7 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Topic%207%2017bb65ee4ea68050ae9fc24137580a72.md), Topic 8 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Topic%208%2017bb65ee4ea68001a667cc58f44a129c.md), Topic 9 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Topic%209%2017bb65ee4ea68009a5d4c3b1822c58f0.md), Topic 10 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Topic%2010%2017bb65ee4ea680b0b0eedf8243ee828e.md), Topic 11 (not tested) (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Topic%2011%20(not%20tested)%2017bb65ee4ea6800fb38fe612e46c4c3e.md), Practical 6 & 7( Test 2) (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Practical%206%20&%207(%20Test%202)%2017bb65ee4ea680c9833bf3099bf0fbda.md), Practical 6 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Practical%206%2018ab65ee4ea680c78586ee2d7ebef0fe.md), Practical 7 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Practical%207%2018ab65ee4ea68024bd11f29d66bb7470.md), Practical 10 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Practical%2010%2018ab65ee4ea680c29ee1fabd27e8386d.md), Practical 9 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Practical%209%2018ab65ee4ea68034b62accb479d6ece6.md)",,,"0 Assignments, 0 Exams",,1,
Market Research and Technology Trends,0,"Test 1(40%)-Week 1-7 Topics (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/Test%201(40%25)-Week%201-7%20Topics%20118b65ee4ea6805c8632e3230650e049.md), Test 2(15%)-Week 8,9,13 Topics (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/Test%202(15%25)-Week%208,9,13%20Topics%20118b65ee4ea680859d85dfc074e18a30.md), Assignment 1(40%) (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/Assignment%201(40%25)%20118b65ee4ea680b08bdde4289949449a.md)",,,IT2165,Notes For Test 1 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Notes%20116b65ee4ea6815db147dc019df41120/Notes%20For%20Test%201%20156b65ee4ea680408ddcdbcc654f9a82.md),,,"1 Assignments, 0 Exams",,1,
UX Design Methods & Techniques,0.333,"Assignment 1 (15%) (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/Assignment%201%20(15%25)%2011db65ee4ea680739530de52344b1c6b.md), Assignment 2 (35%) (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/Assignment%202%20(35%25)%2011db65ee4ea680c5ab5dc91454107d3f.md), Test 1 (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/Test%201%2011db65ee4ea68098a279d1cac238de7a.md), Assignment 3 (35%) (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Assignments%20Exams%20116b65ee4ea6819680bdf51ca5870318/Assignment%203%20(35%25)%2011db65ee4ea68016a183fdc527d8adf8.md)",1,,IT2162,,,,"2 Assignments, 0 Exams",,3,
Mobile Application Development,0,,,,IT2161,,,,"0 Assignments, 0 Exams",,,
Application Security,0,,,,IT2163,,,,"0 Assignments, 0 Exams",,,
Enterprise Development Project,0,,,,IT2166,,,,"0 Assignments, 0 Exams",,,
